id,gender,age
0f4653,2,46
117a25,1,29
03f632,2,47
62390,1,8
0e7370,1,31
08fa72,1,24
13de8c,1,55
0c53e1,2,31
18044c,2,29
13654a,1,38
1923bb,1,21
1d3cf1,2,24
0e57b0,1,29
0ccd91,1,83
157190,1,41
0d77eb,1,25
047d68,1,45
0a9d70,2,64
0c6505,2,69
0644ec,2,30
107ef8,2,44
0fd8dc,2,48
13b93e,2,40
01ac3c,1,47
0e3770,2,31
1009a2,2,66
0993df,1,40
0842cd,2,38
174a0d,2,73
182a3c,2,29
0df1d5,1,25
007bfe,1,28
1ac672,1,26
05aa1e,2,45
021f6b,2,83
18fde2,1,48
06dab6,1,34
19a58d,1,42
26408,2,48
16a1d4,2,26
1a2dc1,2,30
06db59,2,59
0429c1,2,40
1ca90d,2,73
0005fa,1,34
1c6143,1,84
12a411,1,59
007dab,2,58
190dbd,2,2
05a5cf,2,38
0c3361,1,7
0aa248,1,48
1531fe,1,27
0a0d3c,2,44
00d180,1,77
08df8a,2,32
017ff3,2,35
107140,2,45
4.83E+10,1,49
1a41a9,1,31
14b8ab,1,42
09c07e,2,41
1b0cf8,1,29
03a409,1,32
1a0194,1,25
044c0d,1,58
08afb4,1,26
06fb10,1,23
14774d,2,62
0dd9ba,2,52
08aaf4,1,70
04bf79,2,45
0b4b87,2,39
0f5673,1,44
076b5a,1,44
19d661,2,31
18cc76,2,51
0ef737,2,65
0fb551,1,26
01ed12,2,33
13d88d,2,23
1dd537,1,25
00eb5b,2,38
1551b2,1,38
08130f,2,32
08675e,2,68
17d8c3,1,45
120330,1,35
79790,1,69
17dd94,1,74
1c83d9,2,19
195e2d,2,50
01d134,2,32
1c5c88,2,59
07e682,1,76
19b08c,1,39
0122b9,1,48
01586e,2,25
0d6836,2,11
31318,2,59
135101,2,31
0ed73e,1,1
07a4fd,1,0
03387c,2,34
0afd83,1,63
1ba3e5,1,64
070f84,1,28
0a98e3,1,35
0f6f25,2,55
0d232f,2,78
1b102b,1,60
1949fe,1,45
1d8325,1,36
071bc5,1,56
1e45f3,1,28
160430,1,18
0035ce,1,51
01e358,1,48
1305b4,1,48
0b06e3,2,32
1dd06c,1,35
0cbc05,1,51
00e474,2,64
0905d2,1,27
92485,1,32
07b2c0,2,33
0e8273,2,67
1c57da,1,48
123897,2,54
0a4093,2,50
144aa1,2,31
076d39,1,50
1760f8,2,46
13b185,1,60
07076e,2,34
06c2bc,2,65
096a44,2,49
1e0b37,1,21
127f4a,1,49
13fd3d,1,20
1bcf2a,2,64
13d09e,1,34
1b2a82,1,43
19c054,1,46
074f1c,2,26
7427,2,3
117631,1,10
17a921,2,60
0899c0,2,34
10e99c,2,19
0de94f,2,27
08adb4,2,31
1b04c5,1,35
1dcd36,1,17
14cd24,1,31
0f8c24,2,35
13cc2b,2,27
0cfa7c,2,38
87423,2,1
181497,2,23
1186d8,2,48
08aa39,1,61
0eabc5,1,8
103d8a,2,43
0037be,2,4
0eee5f,1,82
0f9c7e,2,20
034fc0,1,42
21696,2,46
18a66e,1,36
08fcc4,2,52
101a5e,1,30
142081,1,69
005b9b,2,26
01ac32,1,80
14e2bc,2,53
13a3a8,2,69
1d8bc6,2,65
061ece,1,48
198a59,1,94
10f78a,2,31
10a7d4,1,61
035ac7,2,13
0b3a24,2,46
12ad03,2,45
